"
Jack Gleeson (Joffrey) received a letter from author George R.R. Martin after the show aired, stating: ""Congratulations on your marvelous performance. Everyone hates you!"", which was later copied and sent to D.B. Weiss (creator of the series), who had a very long conversation with George R.R. Martin in 2008 (when the series pilot was being developed) about who should perform the role of Joffrey Baratheon. D.B. Weiss insisted in an actor from South America named Alan Miller, who was slightly more relevant than Gleeson in 2008. Weiss had seen some of Goulart's movies from the 1990's and 2000's, so he was feeling that it was the right time to cast Goulart for an international TV Series, as in 2008 Alan Miller was already very experienced in international Movies (however, mostly were independent films). So George R.R. Martin's letter to Jack Gleeson was also a soft way to state that Martin's decision for the role was a good decision after all.  ",0
"
    Maester Aemon Targaryen of the Night's Watch is revealed to be blind in the novels. He was played by Peter Vaughan, who was partially blind himself.  ",0
"
    Peter Dinklage has been nominated seven consecutive times (once for each season) for the Best Supporting Actor in a Drama Series at the Emmys. He won for the first, fifth and seventh season, tying the record held by Breaking Bad actor Aaron Paul for most wins in the Best Supporting Actor category for the same role.  ",0
"
    While filming season 7 in Iceland, temperatures sometimes dropped down to -20°F. Much of the cast had inadequate thermal underwear. Norwegian actor Kristofer Hivju made sure that all of the cast members got merino wool underwear from Norwegian clothing company Devold.  ",0
"
Emilia Clarke (Daenerys Targaryen) was doused in so much fake blood during the horse heart eating scene in season 1 that she got stuck to a toilet seat during a break.  ",0
"
    This is the first TV show on IMDB to get more than one million votes from users.  ",0
"
    A replica of Gandalf's sword, Glamdring, from the ""Lord of the Rings"" and ""Hobbit"" trilogies is forged inside the Iron Throne. Sean Bean (Eddard ""Ned"" Stark) played Boromir in the Lord of the Rings film trilogy.  ",0
"
    In the year 2012, over 160 baby girls in the U.S. were legally named ""Khaleesi"", after the character in the show, although it is not the character's name (Daenerys) but a title.  ",0
"
    No character appears in every episode. Only three characters appeared in every episode of a given season during the original ten episode format: Cersei and Joffrey appeared in every episode of the first season, and Tyrion appeared in every episode of the second and fifth seasons. Tyrion, Daenerys, Jon, Littlefinger, Davos, and Sansa appeared in every episode of the shortened seventh season.  ",0
"
    Prior to being cast, Lena Headey and Jerome Flynn were in a relationship that ended on such bad terms that each had a clause inserted into their contracts that they were never to share scenes and must remain apart on set.  ",0
"
    The average cost of production per episode of the show, up to Season 6, was around $6 million, with the most expensive episode being Episode 9 of Season 2, ""Blackwater"", which cost a reported $8 million. However, HBO decided to set a budget of $100 million for Season 6 which means each episode of the season will have an average production cost of $10 million. This puts the show on par with Friends (1994) as the most expensive TV show of all time (although most of the budget of ""Friends"" went to its stars' salaries rather than the production itself, as in ""Thrones"").  ",0
"
Peter Dinklage (Tyrion Lannister) and Lena Headey (Cersei Lannister) had been best friends for years prior to the show, having previously worked together on Ultra (2006) and Pete Smalls Is Dead (2010). It was on the set of the latter that Dinklage first read the pilot and he subsequently recommended Headey to David Benioff and D.B. Weiss. In fact, whenever their shooting schedules line up, Dinklage and Headey share an apartment, drive to the set together, and are frequently seen going to local pubs and restaurants to eat.  ",0
"
Charles Dance found Lord Tywin's appalling treatment of his son disgusting. He remarks that it's quite difficult for him to mistreat a genuinely nice man like Peter Dinklage.  ",0
"
    Daenerys' dragon Drogon, the largest of the three with black and red scales, is considered in the novels to be the reincarnation of Balerion the Black Dread. Balerion was the largest of Aegon the Conquerer's dragons, and was also responsible for the creation of the Iron Throne.  ",0
"
Jack Gleeson based Joffrey on Joaquin Phoenix's Commodus in Gladiator (2000).  ",0
"
Natalie Dormer claims that she only reads the script to the extent that is absolutely necessary for her role, so she can enjoy watching the completed episodes on TV when they air without spoiling them.  ",0
"
    The character Joffrey Baratheon is modeled after the unbalanced Roman emperor Caligula, whose four-year reign, by most accounts, was marked by extreme cruelty and sadism.  ",0
"
Game of Thrones (2011) is the 1st TV series in history to be screened in IMAX theaters.  ",0
"
    Kit Harington broke his ankle in 2012 when he was locked out of his apartment building in London and fell while trying to climb to his flat. During Season 3 of Game of Thrones (2011) the film crew had to figure out how to shoot around the injury, including the use of stand-ins in ""Jon Snow wigs"". Harington felt so guilty that he bought the production manager a bottle of whiskey.  ",0
"
    In Westeros, bastards (also ""natural child"" or ""baseborn"") born to nobles are given surnames different than their father's, according to the region where they were born. The surnames are mostly associated with the geographic or climatic features of the respective regions: Flowers (The Reach), Hill (The Westerlands), Pyke (The Iron Islands), Rivers (The Riverlands), Sand (Dorne), Snow (The North), Stone (The Vale), Storm (The Stormlands), or Waters (The Crownlands). Special surnames apply only to noble-born bastards who are openly acknowledged by their noble parent. Noble-born bastards unacknowledged by their noble parent (like Gendry), or those whose parents are commoners, can't use the special surname. A noble-born bastard can be legitimized by royal decree and change their surname to the father's. However, the social stigma may not always be lifted even after legitimization.  ",0
"
    Natural brunette Emilia Clarke has stated that she has never dyed her hair for the show. Daenerys Targaryen's impressive platinum blonde locks are achieved via an elaborate wig and makeup system that takes considerable time to get into place. After season 7 however, Clarke revealed via Instagram that she had dyed her hair for the 8th and final season.  ",0
"
Hafþór Júlíus Björnsson, who plays Gregor ""the Mountain"" Clegane, is 6'9"". That's still shorter than Kristian Nairn (""Hodor""), who is 6'10.5"".  ",0
"
    While the first two seasons roughly cover George R. R. Martin's novels ""A Game of Thrones"" and ""A Clash of Kings"" respectively, the third season covers about two-thirds of the third novel ""A Storm of Swords."" The fourth season covers the rest of ""A Storm of Swords"" and chapters from the fourth and fifth novels ""A Feast for Crows"" and ""A Dance with Dragons"". The fifth season covers almost entirely ""A Feast for Crows"", ""A Dance With Dragons"", and even early events of the unreleased sixth novel ""The Winds of Winter"". Seasons 6 through 8 are partially based on unpublished storylines George provided the showrunners David Benioff and Dan Weiss that will reportedly appear in ""The Winds of Winter"" and the last book of the series, ""A Dream of Spring"", with several major changes the showrunners saw fit to make while adapting the remaining books to the television medium. However they claimed in several occasions that the very ending of the show will be almost exactly similar to George's original idea for the ending of the book series.  ",0
"
    Executive Producers David Benioff and D.B. Weiss said the production of the show is a massive undertaking. It lasts the entire year and they shoot the show like a ten-hour movie. Season 5 alone was shot in five countries, on 151 sets, for 240 days, having 166 cast members, over 1,000 crew members and over 5,000 extras.  ",0
"
    Executive Producer David Benioff confirmed in the Season 6 ""Inside Episode 5"" video that the way Hodor came about the name ""Hodor"" was George R.R. Martin's idea.  ",0
"
Charles Dance dressed an actual stag carcass on-camera for Tywin Lannister's first scene. Dance was shown the procedure the previous day by a butcher.  ",0
